,project,total_mail
0,accumulo.apache.org lists:,117717
1,aries.apache.org lists:,38372
2,bookkeeper.apache.org lists:,55435
3,deltaspike.apache.org lists:,58696
4,geronimo.apache.org lists:,171283
5,hama.apache.org lists:,20108
6,jackrabbit.apache.org lists:,124021
7,maven.apache.org lists:,9092
8,openmeetings.apache.org lists:,72054
9,opennlp.apache.org lists:,19759
10,poi.apache.org lists:,80036
11,portals.apache.org lists:,14209
12,tajo.apache.org lists:,39606
13,tez.apache.org lists:,59144
14,wookie.apache.org lists:,6457
15,ws.apache.org lists:,8899
16,xmlgraphics.apache.org lists:,104739
